task,model,n,both_correct,only_2026,only_2023,neither
conv_go_awry,jev,500,214,72,51,163
conv_go_awry,google_gemini-3.8-flash,500,169,140,96,95
discourse,jev,497,173,127,48,149
discourse,google_gemini-3.8-flash,497,182,172,39,104
emotion,jev,498,192,54,38,214
emotion,google_gemini-3.8-flash,498,196,89,34,179
ibc,jev,498,205,110,68,115
ibc,google_gemini-3.8-flash,498,194,121,79,104
implicit_hate,jev,498,75,145,73,205
implicit_hate,google_gemini-3.8-flash,474,82,197,60,135
indian_english_dialect,jev,266,38,151,4,73
indian_english_dialect,google_gemini-3.8-flash,264,38,85,4,137
media_ideology,jev,498,261,62,32,143
media_ideology,google_gemini-3.8-flash,498,280,131,13,74
persuasion,jev,434,131,131,99,73
persuasion,google_gemini-3.8-flash,434,166,153,64,51
raop,jev,399,155,96,8,140
raop,google_gemini-3.8-flash,399,146,145,17,91
semeval_stance,jev,435,273,48,40,74
semeval_stance,google_gemini-3.8-flash,435,274,58,39,64
talklife,jev,498,118,67,69,244
talklife,google_gemini-3.8-flash,498,115,68,72,243
tempowic,jev,344,136,100,57,51
tempowic,google_gemini-3.8-flash,344,172,120,21,31
wiki_corpus,jev,500,197,108,111,84
wiki_corpus,google_gemini-3.8-flash,500,212,130,96,62
wiki_politeness,jev,498,140,163,113,82
wiki_politeness,google_gemini-3.8-flash,498,168,166,85,79
