task,llm,n,agreement,both,only_jev,only_llm,neither
conv_go_awry,google_gemini-3.8-flash,500,0.562,188,98,121,93
discourse,google_gemini-3.8-flash,497,0.710261569416499,275,25,79,118
emotion,google_gemini-3.8-flash,498,0.8012048192771084,231,15,54,198
flute,google_gemini-3.8-flash,500,0.896,422,10,41,27
ibc,google_gemini-3.8-flash,498,0.7389558232931727,261,54,54,129
implicit_hate,google_gemini-3.8-flash,498,0.5883534136546185,186,34,93,185
indian_english_dialect,google_gemini-3.8-flash,266,0.39473684210526316,83,106,40,37
media_ideology,google_gemini-3.8-flash,498,0.7530120481927711,310,13,101,74
mrf,google_gemini-3.8-flash,500,0.914,385,15,28,72
persuasion,google_gemini-3.8-flash,434,0.7995391705069125,247,15,72,100
raop,google_gemini-3.8-flash,399,0.6942355889724311,222,29,69,79
reddit_humor,google_gemini-3.8-flash,500,0.62,224,75,115,86
semeval_stance,google_gemini-3.8-flash,435,0.8298850574712644,294,27,38,76
talklife,google_gemini-3.8-flash,498,0.9417670682730924,174,11,9,304
tempowic,google_gemini-3.8-flash,344,0.7267441860465116,217,19,75,33
tropes,google_gemini-3.8-flash,113,0.24778761061946902,14,14,21,64
wiki_corpus,google_gemini-3.8-flash,500,0.842,284,21,58,137
wiki_politeness,google_gemini-3.8-flash,498,0.714859437751004,265,38,69,126
